Estacion,Categoria,Tarifa_Anterior,Tarifa_Nueva
Catey,Categoria 1,505,400
Catey,Categoria 2,1191,1000
Catey,Categoria 3,1552,1300
Catey,Categoria 4,2194,1600
Guaraguao,Categoria 1,236,200
Guaraguao,Categoria 2,487,300
Guaraguao,Categoria 3,634,400
Guaraguao,Categoria 4,900,500
Naranjal,Categoria 1,201,200
Naranjal,Categoria 2,397,300
Naranjal,Categoria 3,529,400
Naranjal,Categoria 4,732,500
Marbella,Categoria 1,63,60
Marbella,Categoria 2,122,120
Marbella,Categoria 3,154,180
Marbella,Categoria 4,231,240
